epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.40483999252319336,0.0010000000474974513,1.6499642133712769,0.44769999384880066,1.5800622701644897
1,0.5092800259590149,0.0010000000474974513,1.3799575567245483,0.5098000168800354,1.5598255395889282
2,0.563480019569397,0.0010000000474974513,1.2373175621032715,0.5910000205039978,1.2188606262207031
3,0.5972599983215332,0.0010000000474974513,1.1476119756698608,0.5781999826431274,1.2659711837768555
4,0.6256999969482422,0.0010000000474974513,1.084231972694397,0.6452000141143799,1.044695258140564
5,0.6415799856185913,0.0010000000474974513,1.0330839157104492,0.675599992275238,0.9481424689292908
6,0.6585400104522705,0.0010000000474974513,0.9986907243728638,0.6765000224113464,0.9554053544998169
7,0.6719599962234497,0.0010000000474974513,0.9555118083953857,0.689300000667572,0.9098440408706665
8,0.6837800145149231,0.0010000000474974513,0.9197023510932922,0.6617000102996826,1.0170941352844238
9,0.691100001335144,0.0010000000474974513,0.8990519046783447,0.646399974822998,1.1068081855773926
10,0.698639988899231,0.0010000000474974513,0.8764162659645081,0.6277999877929688,1.1862742900848389
11,0.731440007686615,0.00020000000949949026,0.7832816243171692,0.7440999746322632,0.7622890472412109
12,0.7411400079727173,0.00020000000949949026,0.7536898255348206,0.7364000082015991,0.787909746170044
13,0.7457399964332581,0.00020000000949949026,0.7375816702842712,0.7409999966621399,0.7919056415557861
14,0.7534400224685669,0.00020000000949949026,0.7196962237358093,0.7642999887466431,0.7097830176353455
15,0.7567600011825562,0.00020000000949949026,0.7104729413986206,0.7527999877929688,0.73667973279953
16,0.7612800002098083,0.00020000000949949026,0.6958558559417725,0.7712000012397766,0.6848432421684265
17,0.7594799995422363,0.00020000000949949026,0.6969719529151917,0.7587000131607056,0.7163483500480652
18,0.7645999789237976,0.00020000000949949026,0.686905026435852,0.7610999941825867,0.7086403369903564
19,0.7664399743080139,0.00020000000949949026,0.6791896224021912,0.7473000288009644,0.7681171298027039
20,0.771619975566864,4.0000002627493814e-05,0.6624429821968079,0.7671999931335449,0.6972770094871521
21,0.7722200155258179,4.0000002627493814e-05,0.6543784737586975,0.7692000269889832,0.6974052786827087
